ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
5.171	2.545	1.156	0.507	2.577
5.256	3.293	2.371	1.856	3.173
5.906	3.401	2.324	1.725	3.630
5.735	3.269	2.374	1.745	3.518
5.234	2.522	1.325	0.635	2.662
5.921	3.592	2.307	1.723	3.471
6.208	3.813	2.562	2.007	3.856
6.039	3.739	3.564	3.231	4.842
2.707	1.589	1.578	1.523	1.633
6.113	3.611	2.434	1.842	3.702
6.580	4.156	3.053	2.439	4.143
7.337	4.579	3.289	2.562	4.467
7.157	4.377	3.134	2.491	4.556
6.168	3.761	2.393	1.810	3.489
4.214	2.545	2.481	2.266	2.692
4.326	1.583	1.777	1.635	3.750
6.024	3.152	2.336	1.708	3.669
5.702	4.188	2.753	2.201	2.237
6.125	3.505	2.180	1.533	3.441
5.751	3.372	2.350	1.748	3.271
6.144	3.552	3.470	2.807	4.244
3.393	2.032	2.097	1.921	2.159
7.376	5.113	5.164	4.934	6.657
5.943	4.486	3.093	2.619	3.235
6.588	4.499	3.653	3.125	4.425
5.794	3.315	2.426	1.839	3.498
3.433	3.138	1.437	1.710	2.242
5.637	3.491	2.826	2.265	3.491
5.651	4.114	3.530	3.199	4.093
6.164	3.380	1.868	1.158	3.369
4.707	2.187	2.618	2.373	4.413
7.701	5.337	4.266	3.599	5.342
7.062	4.214	2.999	2.226	4.480
6.310	3.511	2.327	1.504	3.743
6.483	4.035	2.890	2.093	3.957
7.091	4.247	2.983	2.141	4.457
6.248	3.796	2.811	2.007	3.954
5.071	2.812	1.707	0.940	2.717
5.944	4.345	3.336	2.838	3.876
5.151	2.511	2.394	1.636	3.104
7.337	4.827	4.097	3.260	5.246
6.349	3.857	3.145	2.202	3.913
5.612	2.793	3.093	2.168	3.380
5.083	1.627	2.220	1.747	4.675
9.125	6.764	5.589	4.615	6.752
5.861	3.410	3.592	3.201	5.196
7.288	4.771	3.684	2.446	4.484
6.534	4.316	3.398	2.298	4.059
5.745	3.567	2.885	1.812	3.404
6.953	6.099	4.702	4.062	4.389
5.691	2.970	3.072	2.156	4.111
5.959	3.699	3.171	2.206	3.972
6.763	4.690	4.009	2.827	4.398
7.591	5.908	5.068	4.146	5.593
4.851	2.586	2.648	1.939	3.733
6.520	4.983	4.383	3.452	4.492
5.659	3.466	2.668	1.240	3.276
4.988	2.756	1.970	0.482	2.553
5.370	3.090	2.352	0.768	2.900
4.580	2.414	1.829	0.341	2.235
3.625	2.969	2.112	1.823	2.221
5.753	3.964	3.953	3.055	4.062
5.562	3.581	3.186	1.703	3.534
5.228	3.334	3.182	1.970	3.306
6.410	4.559	4.349	3.063	4.499
6.453	4.414	3.962	2.261	4.249
5.063	2.989	2.485	0.617	2.622
6.188	4.609	4.418	3.226	3.717
5.870	4.030	3.743	2.151	3.864
4.987	2.616	2.929	1.354	3.169
5.993	3.774	3.326	1.155	3.515
5.170	4.192	3.088	1.887	2.950
4.505	2.630	2.981	2.267	3.423
5.681	4.161	3.821	2.404	3.651
5.399	3.260	3.462	1.527	3.381
5.237	3.562	3.575	1.877	3.173
5.107	2.897	3.124	0.824	2.975
3.972	3.391	2.561	1.787	2.098
5.205	2.810	3.017	0.364	2.885
5.380	3.396	3.593	1.255	3.246
3.033	2.225	2.312	2.221	2.342
5.321	3.348	3.537	0.986	3.162
4.851	3.154	3.340	1.166	2.921
4.918	2.949	3.293	0.690	2.856
6.004	4.568	4.860	3.977	4.582
4.231	2.486	2.864	0.553	2.605
3.640	1.720	2.561	1.445	2.741
3.540	1.790	2.265	0.057	1.671
3.000	1.986	2.165	1.910	2.028
4.128	2.765	2.939	1.147	2.743
4.066	2.362	3.016	0.593	2.406
3.247	1.972	2.379	1.731	2.163
3.071	2.212	2.306	2.095	2.190
3.588	2.377	2.755	0.639	2.118
3.878	2.338	3.089	0.475	2.521
4.113	2.968	3.356	2.542	3.041
3.567	1.897	2.831	0.527	2.616
3.781	2.441	3.163	0.735	2.584
5.257	3.961	4.695	1.942	3.893
3.806	2.627	3.289	0.849	2.493
3.716	2.780	3.179	1.640	2.463
3.576	2.119	3.146	-0.015	2.201
3.586	2.153	3.219	0.071	2.140
2.485	1.313	1.972	1.216	2.550
2.607	0.958	2.174	0.671	1.800
1.575	1.086	1.099	1.048	1.061
2.376	1.308	1.795	1.152	1.493
3.768	3.229	3.475	1.680	2.551
4.725	3.570	4.743	1.604	3.217
3.146	1.762	3.189	0.113	1.598
3.779	2.717	3.809	1.630	2.755
3.069	1.806	3.161	0.657	1.915
1.935	1.087	1.400	1.008	1.202
2.860	1.971	2.702	1.166	1.644
1.986	1.510	1.545	0.973	1.020
1.920	0.876	2.177	-0.345	0.940
