ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
4.903	3.400	2.445	2.207	3.459
5.852	4.064	3.015	2.573	3.884
6.406	4.717	4.797	4.571	5.788
6.839	4.952	4.223	3.758	5.058
6.031	3.888	2.910	2.430	4.003
5.229	3.156	2.092	1.739	3.249
6.377	4.440	3.438	3.068	4.522
5.353	4.482	3.788	3.604	4.004
6.329	4.736	3.962	3.609	4.647
5.423	3.185	2.968	2.574	3.817
6.886	5.420	4.817	4.491	5.314
8.297	6.543	6.426	6.167	7.218
6.668	4.291	4.466	4.238	5.963
7.492	5.596	4.599	4.195	5.499
6.705	4.532	4.277	3.885	5.276
4.906	2.785	1.943	1.457	2.506
3.678	2.072	2.036	1.790	2.137
6.278	4.080	3.040	2.555	3.932
6.019	3.855	2.660	2.176	3.701
5.674	3.498	2.601	2.113	3.529
6.518	4.850	3.959	3.620	4.866
4.549	3.479	3.428	3.295	3.667
5.512	4.315	4.451	4.379	5.286
9.521	8.409	7.842	7.617	8.422
10.001	8.641	8.093	7.782	8.722
8.869	7.350	6.960	6.655	7.512
4.975	2.363	2.481	2.328	4.457
6.954	4.901	3.982	3.492	4.963
5.611	4.606	4.225	4.076	4.485
8.686	6.809	5.853	5.446	6.924
7.642	5.590	4.364	3.873	5.488
9.934	8.131	7.242	6.784	8.195
7.634	6.378	5.378	5.187	6.161
7.320	5.613	4.896	4.567	5.899
7.583	6.212	4.988	4.501	5.278
8.495	6.540	5.508	4.950	6.526
6.648	5.455	4.514	4.197	5.005
5.117	2.962	2.064	1.471	3.127
6.784	5.012	4.106	3.548	4.953
5.998	3.714	2.598	1.820	3.631
5.681	5.178	4.024	3.959	3.954
5.827	3.629	3.609	3.095	4.312
4.544	4.317	3.003	2.840	2.758
5.071	4.357	3.232	3.126	3.108
8.438	6.454	5.442	4.686	6.447
9.485	8.182	7.552	7.048	8.078
9.677	7.900	7.036	6.316	7.834
9.085	7.657	7.196	6.631	7.652
6.451	5.026	4.864	4.455	5.055
9.233	7.735	7.546	6.962	7.927
7.486	5.459	5.599	4.843	6.055
5.552	3.907	4.012	3.496	3.990
7.637	5.735	5.097	4.089	5.628
8.193	6.412	5.717	4.692	6.164
6.283	5.108	5.161	4.861	5.231
8.557	7.513	7.072	6.482	7.267
7.566	6.079	5.608	4.739	6.059
6.175	4.634	4.035	3.069	4.481
3.875	2.706	2.698	2.332	2.426
3.395	1.664	2.028	1.525	2.490
4.157	2.753	2.899	2.450	2.908
8.520	7.261	6.772	5.826	6.957
8.343	7.311	7.012	6.249	7.177
8.164	6.607	6.313	5.212	6.629
9.985	8.889	8.569	7.725	8.709
9.635	8.111	8.413	7.700	8.799
7.183	6.611	6.024	5.551	5.597
8.831	7.159	7.546	6.695	7.353
7.668	6.391	6.256	5.339	6.221
7.252	5.740	5.901	4.983	5.908
8.100	6.316	6.346	4.930	6.445
5.810	3.933	4.009	2.614	3.432
7.865	6.152	6.113	4.691	6.193
6.630	5.494	4.969	3.856	4.930
6.179	5.577	4.918	4.286	4.629
6.083	4.406	4.429	2.811	4.434
6.092	4.937	4.739	3.486	4.474
5.848	4.900	4.438	3.281	4.053
5.526	3.704	3.757	1.926	3.616
5.937	4.013	4.261	2.249	4.109
8.860	7.648	7.647	6.164	7.452
8.309	7.012	7.191	5.810	7.021
6.703	5.026	5.544	4.015	5.212
6.555	5.076	5.204	3.282	4.890
8.090	6.675	6.933	5.145	6.705
5.725	5.014	4.997	4.756	4.892
5.668	4.178	4.723	3.955	5.164
3.047	3.179	1.963	1.227	1.287
3.401	2.965	2.518	1.610	1.816
5.458	3.888	4.332	2.149	3.874
4.988	3.580	3.939	1.900	3.400
5.727	4.502	4.846	2.832	4.405
7.661	7.038	7.082	6.378	6.732
3.963	3.828	3.372	2.662	2.810
2.876	2.356	2.289	1.975	2.349
5.257	4.308	4.665	3.658	4.355
5.611	4.717	5.054	3.832	4.762
5.109	3.647	4.453	3.244	4.659
7.477	6.402	7.030	5.290	6.621
6.693	6.053	6.318	4.961	5.794
7.602	6.843	7.298	5.713	6.811
4.641	3.824	4.325	2.936	3.807
2.808	1.873	2.212	1.746	1.951
3.775	2.152	3.342	2.032	3.773
3.914	2.888	3.613	1.469	2.887
4.452	3.396	4.258	1.818	3.386
4.215	3.224	4.034	2.338	3.466
6.124	5.740	5.815	4.747	4.949
7.384	6.672	7.325	5.793	6.757
4.891	4.146	4.685	3.286	4.100
4.878	4.417	4.806	3.610	4.276
4.033	3.816	3.842	3.431	3.645
3.308	2.928	3.140	2.074	2.193
3.814	3.291	3.480	2.661	2.967
4.064	3.076	4.250	1.779	2.933
2.676	1.703	2.473	1.563	1.993
2.434	2.077	2.181	1.878	1.937
4.705	3.945	4.938	2.981	3.865
6.124	5.602	6.326	4.912	5.566
4.154	3.214	4.197	2.830	3.545
4.103	3.570	3.811	3.449	3.652
5.238	4.406	5.204	4.300	4.822
3.119	2.855	2.889	2.803	2.820
4.272	3.519	4.233	3.206	3.688
6.237	6.090	6.275	5.310	5.525
5.625	4.901	5.928	4.165	4.795
1.961	1.602	1.646	1.563	1.563
2.329	1.655	2.459	0.762	1.485
2.429	2.570	2.409	1.359	1.385
3.237	2.681	3.306	2.153	2.778
2.383	2.425	2.386	1.802	1.801
2.684	2.201	2.477	2.039	2.187
2.054	1.820	1.814	1.754	1.753
2.594	1.751	3.036	1.377	2.228
2.038	1.627	1.711	1.538	1.581
2.900	2.362	2.894	2.158	2.645
2.904	2.689	2.793	2.687	2.796
3.718	3.199	4.085	2.862	3.335
1.546	1.467	1.464	1.472	1.468
3.223	2.676	3.369	2.542	3.043
2.504	2.265	2.481	1.973	1.985
1.711	1.017	1.803	0.957	1.193
1.091	0.920	1.158	0.361	0.475
1.221	0.826	0.898	0.795	0.817
2.772	2.057	3.579	1.533	2.318
3.427	2.927	4.176	2.359	2.984
1.368	1.195	1.219	1.178	1.182
1.070	0.946	0.956	0.950	0.952
2.483	2.098	2.699	2.016	2.532
1.986	2.045	2.073	1.764	1.763
2.744	2.618	2.750	2.425	2.445
3.196	3.075	3.451	2.668	2.885
2.211	1.638	3.304	1.046	1.850
1.939	1.373	2.060	1.354	1.486
2.189	1.562	2.682	1.464	2.124
2.718	2.203	3.586	1.648	2.224
4.731	4.343	5.097	4.040	4.234
2.842	2.330	3.399	2.157	2.714
3.075	2.708	3.125	2.687	2.795
2.484	2.187	2.723	1.974	2.373
1.568	1.912	2.090	1.044	1.041
2.170	2.327	2.685	1.563	1.604
2.204	1.761	2.558	1.607	1.749
1.460	1.336	1.355	1.316	1.317
2.662	2.489	2.531	2.483	2.492
3.384	3.176	3.800	2.890	3.138
1.927	1.844	2.463	1.329	1.420
2.288	1.858	2.741	1.656	1.970
1.787	1.709	1.705	1.713	1.709
1.485	1.448	1.521	1.296	1.295
3.455	3.178	4.352	2.791	3.223
1.573	1.187	3.311	0.352	1.104
0.775	0.256	1.496	0.101	0.791
1.817	1.546	1.971	1.422	1.494
1.154	0.989	1.041	0.983	0.998
0.991	0.765	0.894	0.746	0.783
1.801	1.437	2.162	1.269	1.542
1.294	1.058	1.513	0.951	1.100
2.517	2.160	3.154	1.946	2.329
1.334	0.726	1.979	0.670	1.129
2.176	1.899	2.405	1.800	1.925
2.313	2.154	2.420	2.048	2.122
2.273	2.072	2.379	1.987	2.091
1.285	1.073	1.402	0.926	1.050
0.836	0.362	1.222	0.308	0.629
1.452	1.222	2.487	0.747	1.112
0.963	0.752	0.927	0.727	0.785
2.503	2.356	2.432	2.346	2.368
1.499	1.463	1.592	1.349	1.373
3.721	3.620	3.665	3.606	3.616
1.936	1.811	2.651	1.472	1.695
2.531	2.422	3.313	1.963	2.091
1.631	1.449	1.674	1.406	1.478
4.034	3.882	4.850	3.558	3.874
2.663	2.504	3.579	2.119	2.451
1.901	1.744	1.825	1.726	1.748
0.781	0.586	0.684	0.569	0.606
2.297	2.034	3.167	1.721	2.185
1.682	1.585	1.590	1.584	1.584
1.045	0.832	1.052	0.786	0.857
1.253	1.274	1.362	1.122	1.119
1.050	1.131	1.244	0.852	0.851
1.742	1.590	1.729	1.573	1.637
0.914	0.840	0.844	0.841	0.840
1.079	1.046	1.041	1.048	1.046
1.517	1.462	1.459	1.465	1.463
0.924	0.830	0.847	0.827	0.833
