ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
4.588	2.582	1.662	1.295	2.669
4.979	2.394	1.089	0.650	2.487
5.364	3.213	2.105	1.724	3.245
5.694	3.975	3.107	2.802	3.994
5.531	3.254	2.205	1.797	3.337
4.623	2.120	1.408	0.984	2.511
5.859	2.957	1.406	0.958	2.950
5.816	3.481	2.159	1.814	3.421
6.280	4.422	3.451	3.167	4.418
5.284	3.012	1.949	1.571	3.092
5.157	2.710	1.514	1.124	2.759
6.337	4.411	3.520	3.164	4.344
7.984	5.697	4.709	4.324	5.690
7.076	4.444	3.228	2.798	4.537
6.762	4.017	2.869	2.423	4.220
5.869	3.492	2.649	2.262	3.679
5.173	2.255	1.235	0.759	2.621
5.608	2.921	2.007	1.556	3.237
5.524	3.361	2.396	2.053	3.136
4.308	2.097	1.673	1.392	2.527
3.561	1.892	1.592	1.546	2.261
4.331	3.449	2.632	2.497	2.841
5.613	3.745	2.612	2.361	3.659
5.608	4.415	3.628	3.465	4.259
6.651	5.026	4.076	3.848	4.987
6.544	4.840	3.999	3.738	4.853
6.029	3.817	2.793	2.366	3.799
4.883	2.380	1.187	0.727	2.402
5.454	3.254	2.248	1.815	3.261
6.419	4.624	3.759	3.448	4.719
6.981	4.427	3.305	2.849	4.668
3.581	3.036	2.055	2.262	2.499
7.045	4.954	4.642	4.363	5.739
6.813	4.202	3.200	2.697	4.574
5.624	3.624	2.766	2.310	3.528
6.232	3.636	2.642	2.095	3.945
6.373	3.782	2.735	2.178	4.076
5.342	3.209	2.356	1.844	3.382
4.676	2.290	1.264	0.677	2.380
5.247	3.213	2.361	1.842	3.356
5.438	2.762	1.516	0.825	2.809
6.826	4.574	3.747	3.143	4.834
5.866	3.463	2.512	1.827	3.598
5.659	3.696	2.737	2.123	3.584
6.725	3.805	2.544	1.671	3.967
8.688	6.206	5.053	4.320	6.339
7.935	5.914	5.031	4.413	6.043
6.134	4.117	3.174	2.482	4.112
5.681	3.833	3.061	2.410	3.897
5.361	3.426	2.715	2.021	3.448
6.771	5.164	4.638	4.044	5.228
6.196	4.014	3.279	2.429	4.151
5.758	3.367	2.911	2.048	3.614
5.832	3.817	3.035	2.198	3.865
7.147	4.967	4.078	3.158	5.003
5.993	4.259	3.434	2.605	4.077
6.588	4.970	4.446	3.694	5.035
5.452	3.561	2.861	1.948	3.619
5.169	3.034	2.228	1.155	3.061
4.906	2.777	2.063	0.961	2.784
4.608	2.314	1.598	0.387	2.446
5.078	3.366	2.843	1.968	3.398
6.746	5.257	4.718	3.842	5.193
6.875	5.333	4.946	4.061	5.453
5.774	3.909	3.433	2.323	3.994
7.142	5.594	5.281	4.351	5.659
5.692	4.624	4.000	3.184	3.648
4.818	2.856	2.450	1.173	2.890
6.678	4.763	4.485	3.243	4.972
5.954	4.304	3.864	2.665	4.334
5.283	3.388	2.936	1.519	3.404
4.746	3.550	2.865	1.861	2.462
5.306	3.500	2.929	1.553	3.466
7.270	5.355	4.860	3.213	5.181
6.492	4.397	3.984	2.245	4.428
5.268	3.511	3.305	1.831	3.555
4.879	3.081	2.966	1.381	2.957
5.316	3.631	3.540	2.003	3.461
4.982	3.093	2.830	0.956	2.712
5.112	2.896	2.661	0.433	2.546
5.076	3.417	3.252	1.503	3.137
6.410	4.892	4.924	3.403	4.783
6.668	4.942	4.760	2.783	4.539
5.432	3.580	3.710	1.773	3.519
5.382	3.453	3.406	1.142	3.075
8.358	6.842	6.886	5.072	6.654
4.967	3.136	3.163	0.924	2.946
4.775	3.241	3.336	1.614	3.021
3.779	1.975	2.103	-0.274	1.620
5.725	3.820	4.325	2.148	3.905
4.864	2.819	3.382	0.972	2.885
2.811	2.239	1.734	1.007	1.187
3.985	2.693	2.964	1.624	2.556
4.613	3.766	3.914	3.162	3.487
2.564	1.196	1.712	1.084	2.081
4.270	2.716	3.245	0.973	2.637
4.648	3.439	3.905	2.443	3.563
4.373	2.632	3.316	0.706	2.641
4.081	2.651	3.256	1.087	2.633
5.043	3.798	4.321	3.010	3.928
4.078	2.867	3.406	1.351	2.731
4.774	3.610	4.209	2.278	3.592
2.673	2.247	1.940	1.074	1.479
3.824	2.135	3.098	0.134	2.041
3.892	2.402	3.283	0.512	2.329
3.765	2.118	3.166	0.096	2.109
4.507	3.038	4.014	1.148	2.982
4.083	2.664	3.659	0.829	2.624
4.439	3.390	4.153	1.905	3.242
5.342	4.182	5.079	2.635	4.133
3.440	2.071	3.189	0.279	1.999
5.171	4.190	5.046	2.906	4.224
3.364	2.403	3.170	1.289	2.287
2.382	0.838	2.116	0.813	2.209
3.045	1.926	2.649	1.474	2.182
3.378	2.399	3.375	0.869	2.124
2.844	1.791	2.888	0.488	1.826
2.840	2.030	2.942	0.757	1.913
3.062	2.079	3.176	0.882	2.118
3.855	3.082	4.001	2.091	3.080
3.237	2.196	3.490	0.873	2.259
2.814	2.206	2.781	1.176	1.889
3.074	1.961	2.923	1.530	2.043
3.856	2.953	4.287	1.381	2.865
3.135	2.220	3.609	0.663	2.062
4.653	3.840	5.097	2.581	3.859
3.773	2.957	4.159	1.597	2.911
2.822	1.708	3.083	0.786	1.840
2.207	1.128	2.283	0.309	1.180
1.592	1.010	1.235	0.725	0.743
3.250	2.135	3.916	1.000	2.394
2.391	1.303	3.030	0.291	1.556
2.352	2.157	2.323	1.241	1.335
2.420	1.452	2.808	0.697	1.983
2.788	1.831	3.596	0.697	1.996
2.627	1.493	3.326	0.626	1.842
2.220	1.167	2.400	1.135	2.229
3.084	2.912	3.101	2.392	2.762
2.131	1.169	2.181	1.057	1.637
2.072	1.297	2.255	1.132	2.131
2.259	1.387	3.343	0.192	1.493
1.803	0.894	2.404	0.269	1.066
1.181	1.339	1.362	0.480	0.473
1.055	0.616	0.706	0.602	0.640
1.334	1.234	1.459	0.515	0.511
2.490	1.765	3.035	1.187	1.850
2.376	1.672	3.411	0.706	1.582
1.409	1.099	2.024	0.317	0.812
1.085	1.014	1.070	0.736	0.730
2.180	1.716	3.079	0.914	1.592
2.012	1.589	2.871	0.794	1.384
2.322	1.765	3.450	0.849	1.710
1.233	0.714	1.282	0.464	0.723
1.289	1.081	1.673	0.255	0.491
1.369	1.333	1.586	0.557	0.729
1.287	0.840	1.084	0.748	0.817
1.759	1.053	3.528	-0.230	0.955
2.898	2.415	3.986	1.678	2.474
1.257	0.875	1.077	0.790	0.839
1.922	1.442	2.556	0.944	1.482
1.417	0.929	2.892	-0.082	0.807
0.995	1.184	1.357	0.477	0.472
1.201	0.796	1.192	0.583	0.748
1.814	1.411	3.184	0.524	1.314
1.821	1.428	3.056	0.672	1.382
3.191	2.789	4.460	2.030	2.740
1.856	1.439	3.011	0.727	1.369
1.070	0.723	2.082	0.017	0.518
1.242	0.829	1.175	0.729	0.870
1.722	1.403	1.528	1.364	1.396
1.321	0.922	2.007	0.541	1.104
0.900	0.702	0.722	0.701	0.708
0.820	0.190	1.684	-0.220	0.346
0.859	0.970	1.264	0.206	0.233
1.525	1.209	2.834	0.521	1.185
0.884	0.559	2.316	-0.189	0.534
1.031	0.745	2.387	-0.023	0.587
1.133	0.770	2.956	-0.191	0.699
1.402	1.114	2.712	0.449	1.075
1.090	0.723	2.788	-0.125	0.686
0.680	0.660	0.823	0.260	0.262
1.071	0.839	1.675	0.447	0.793
1.310	1.282	1.622	0.895	1.024
1.267	1.235	1.382	0.884	0.925
0.622	0.357	0.444	0.295	0.301
0.658	0.450	1.041	0.095	0.368
0.867	0.947	1.276	0.401	0.583
0.878	0.719	1.133	0.397	0.456
1.476	1.118	1.659	1.107	1.189
1.139	1.076	2.005	0.471	0.707
1.720	1.514	2.522	1.133	1.511
1.058	0.802	2.440	0.083	0.691
1.548	1.281	3.013	0.583	1.212
0.873	0.843	1.773	0.178	0.443
1.506	1.239	2.387	0.793	1.220
1.698	1.257	2.712	0.928	1.538
1.751	1.283	2.275	1.090	1.286
0.760	0.285	1.786	-0.107	0.418
1.400	1.285	2.242	0.728	1.385
1.061	0.741	1.990	0.270	0.586
0.728	0.480	1.947	-0.170	0.314
0.963	0.665	2.370	0.059	0.717
0.977	0.674	2.348	0.064	0.713
1.030	0.773	1.740	0.420	0.805
0.980	0.892	1.334	0.515	0.553
1.030	0.759	1.853	0.389	0.796
1.257	0.892	2.242	0.480	1.012
0.892	0.954	1.364	0.335	0.353
