ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
4.923	3.256	2.570	1.208	3.132
1.507	1.065	1.076	1.054	1.057
2.294	1.675	1.798	1.675	1.803
4.394	3.108	2.731	1.639	2.932
2.400	1.518	1.516	1.411	1.502
3.678	2.381	1.978	1.176	2.291
3.021	1.365	1.962	1.601	3.195
1.582	1.359	1.367	1.360	1.359
2.618	1.727	1.821	1.651	1.812
3.278	3.110	1.991	1.709	1.543
3.008	3.087	2.263	2.207	2.077
3.716	2.721	2.425	1.634	2.556
3.477	2.774	2.228	1.478	1.813
4.079	2.921	2.470	1.538	2.686
3.689	3.236	2.308	2.107	2.604
4.001	2.311	1.891	0.565	2.203
3.578	2.570	2.144	1.290	1.625
2.788	2.005	1.653	1.584	1.724
1.447	0.964	0.985	0.957	0.967
2.154	1.437	1.431	1.372	1.418
3.786	2.562	2.682	1.890	2.546
4.545	4.163	3.295	2.704	2.783
4.773	3.891	3.701	3.317	4.214
4.459	3.796	3.280	3.350	4.187
5.038	3.112	3.701	3.227	4.904
4.783	3.061	2.948	1.752	3.412
3.328	1.972	1.638	1.786	3.170
5.217	4.660	3.508	2.689	2.957
5.495	4.197	3.859	2.895	4.374
6.335	4.409	3.820	2.337	4.535
5.480	3.961	3.322	1.988	3.755
6.075	5.019	4.375	3.686	4.960
4.460	2.363	2.848	2.393	4.556
3.593	3.107	2.297	1.998	1.918
3.844	2.369	2.341	1.399	2.494
4.152	2.323	2.461	1.951	4.077
3.558	2.654	2.571	2.182	2.317
3.378	3.045	1.779	1.089	1.221
3.934	3.773	2.839	2.191	2.093
3.828	2.351	2.149	0.748	2.369
4.216	3.055	2.831	1.674	3.075
4.153	2.928	2.710	1.521	2.805
3.789	2.947	2.580	1.591	2.275
1.314	0.872	0.887	0.870	0.872
1.739	1.375	1.385	1.365	1.368
1.825	1.354	1.368	1.327	1.347
1.798	1.327	1.351	1.323	1.342
3.819	2.452	2.714	1.913	3.148
4.246	3.022	2.906	1.330	2.745
3.377	2.718	2.761	2.479	2.546
3.325	3.063	2.279	1.595	1.778
2.343	1.752	1.426	1.379	1.818
2.480	1.660	1.763	1.589	1.695
3.760	2.594	2.715	2.260	3.336
3.825	2.863	2.808	1.491	2.641
3.939	3.302	3.148	2.247	3.018
3.468	2.428	2.549	1.342	2.596
3.683	1.885	2.641	1.297	3.094
3.974	2.605	2.917	1.157	2.650
3.476	2.276	2.408	0.533	1.976
4.514	3.027	3.620	1.741	3.429
3.719	2.588	3.274	2.449	2.893
2.611	2.024	2.087	1.872	1.961
3.093	2.015	2.402	0.987	1.918
3.861	3.007	3.229	2.277	3.255
4.226	3.179	3.528	2.698	3.406
1.657	0.999	1.051	0.967	1.009
2.092	1.655	1.569	1.438	1.440
2.539	1.407	2.003	1.408	2.378
2.920	1.956	2.214	1.583	2.070
3.715	2.999	3.035	1.464	2.903
3.513	2.378	2.855	0.252	2.400
2.066	1.458	1.511	1.404	1.454
3.705	3.470	3.038	2.077	2.241
3.631	2.595	3.263	1.370	2.769
2.958	2.509	2.487	1.070	1.752
2.279	1.390	1.881	1.110	1.750
3.595	2.686	3.335	1.035	2.476
3.209	2.790	2.665	0.904	1.742
1.374	0.999	1.018	1.001	1.009
1.868	1.588	1.603	1.590	1.593
1.838	1.498	1.518	1.498	1.502
2.159	0.981	1.958	0.971	1.717
1.910	1.147	1.446	1.089	1.302
2.647	1.958	2.542	1.561	2.051
2.248	1.057	2.118	0.627	1.775
1.993	1.202	1.675	0.959	1.480
1.592	0.788	0.994	0.586	0.722
2.409	1.314	2.376	0.935	1.786
2.762	1.888	2.989	0.836	2.339
2.154	1.012	1.994	0.775	1.831
1.981	1.724	1.984	1.068	1.063
1.727	1.386	1.441	1.330	1.358
1.506	1.047	1.130	0.992	1.051
2.204	2.064	2.222	0.848	1.348
2.368	1.853	2.011	1.743	1.821
2.314	1.667	2.024	1.401	1.722
2.590	1.969	3.312	0.372	2.078
3.018	2.456	3.236	1.813	2.778
1.785	1.353	1.467	1.311	1.388
1.409	0.990	1.294	0.914	1.008
0.765	0.603	0.604	0.610	0.603
0.689	0.516	0.516	0.525	0.515
1.589	1.511	1.385	1.143	1.263
1.560	2.153	1.826	0.623	0.622
1.636	1.078	2.209	0.320	1.056
2.147	1.869	3.109	0.516	1.822
2.606	2.359	3.476	1.204	2.192
2.561	2.319	3.318	1.400	2.221
1.521	0.699	2.047	0.405	1.243
2.197	1.921	2.963	1.134	1.897
2.043	1.669	2.661	1.116	1.785
1.445	1.129	2.460	0.117	0.972
1.234	0.844	1.620	0.385	1.064
1.802	1.333	1.730	1.221	1.443
1.330	0.936	1.210	0.872	1.025
1.233	1.067	2.025	0.390	1.007
0.894	0.795	0.794	0.800	0.795
0.614	0.526	0.527	0.529	0.526
1.196	0.859	1.640	0.476	0.945
0.869	0.721	0.724	0.707	0.703
1.784	1.998	1.957	1.506	1.500
1.565	1.330	1.430	1.303	1.339
1.575	1.250	1.847	1.013	1.421
0.696	0.513	0.605	0.427	0.461
1.837	1.695	3.221	0.795	1.661
1.152	0.952	2.412	0.221	1.067
0.734	0.526	2.173	-0.335	0.535
0.657	0.215	0.883	0.194	0.393
0.784	0.705	0.699	0.711	0.705
1.050	1.371	1.396	0.746	0.741
1.675	1.822	2.334	1.151	1.302
0.969	0.797	1.025	0.706	0.790
1.175	1.050	1.505	0.810	1.079
0.656	0.422	0.651	0.411	0.477
1.267	1.239	1.803	0.830	0.953
1.351	1.294	1.976	0.992	1.274
0.918	0.687	1.262	0.590	0.842
0.766	0.572	1.433	0.356	0.733
0.855	0.596	1.056	0.586	0.765
0.586	0.614	0.709	0.367	0.453
0.256	-0.053	1.058	-0.214	0.259
0.367	0.203	1.532	-0.235	0.205
0.474	0.370	1.798	-0.166	0.260
0.428	0.405	0.974	0.098	0.281
0.957	0.923	1.095	0.749	0.824
1.140	0.981	1.446	0.883	1.022
0.834	1.007	1.114	0.663	0.661
1.052	0.916	1.156	0.858	0.930
1.229	1.335	1.386	1.144	1.142
0.914	1.037	1.101	0.830	0.827
0.655	0.562	0.659	0.524	0.547
0.225	0.131	1.300	-0.168	0.220
0.456	0.510	1.176	0.151	0.367
0.867	0.682	1.682	0.557	0.945
0.568	0.588	1.077	0.319	0.333
1.209	1.249	1.596	1.032	1.139
0.389	0.302	0.454	0.282	0.329
1.182	1.135	1.131	1.138	1.135
0.718	0.676	0.666	0.680	0.676
0.548	0.633	0.751	0.444	0.441
0.577	0.538	0.530	0.540	0.536
0.381	0.379	0.690	0.222	0.270
0.611	0.576	0.571	0.578	0.575
0.810	0.804	1.004	0.694	0.697
0.865	0.886	1.273	0.710	0.728
0.469	0.431	0.423	0.434	0.431
0.308	0.279	0.271	0.281	0.279
0.806	0.872	0.964	0.748	0.746
0.754	0.821	0.910	0.697	0.696
0.381	0.361	0.356	0.363	0.362
-0.031	-0.063	0.594	-0.211	-0.039
0.400	0.359	0.350	0.362	0.359
0.697	0.675	0.667	0.677	0.674
0.468	0.408	0.512	0.408	0.454
0.274	0.233	0.246	0.222	0.223
0.494	0.447	0.452	0.448	0.448
0.590	0.595	0.942	0.497	0.562
0.197	0.126	0.655	0.073	0.199
-0.073	-0.066	0.629	-0.224	-0.088
0.515	0.535	0.905	0.413	0.457
0.534	0.575	0.639	0.500	0.498
0.212	0.232	0.371	0.154	0.190
0.066	0.090	1.238	-0.154	0.078
0.254	0.191	0.213	0.187	0.189
0.508	0.465	0.475	0.457	0.459
0.624	0.565	0.803	0.539	0.607
0.660	0.705	0.769	0.629	0.628
1.211	1.240	1.296	1.173	1.171
0.755	0.746	0.740	0.747	0.746
0.535	0.498	0.564	0.480	0.488
0.589	0.621	0.678	0.551	0.549
0.572	0.531	0.639	0.532	0.585
0.577	0.568	0.563	0.569	0.568
0.337	0.304	0.316	0.302	0.304
0.482	0.462	0.542	0.441	0.459
0.157	0.119	0.177	0.110	0.110
0.371	0.403	0.460	0.342	0.340
0.254	0.285	0.337	0.227	0.226
0.430	0.416	0.408	0.419	0.416
0.483	0.445	0.511	0.440	0.445
0.392	0.365	0.356	0.367	0.365
0.894	0.871	0.863	0.873	0.872
0.444	0.389	0.636	0.371	0.423
0.410	0.372	0.415	0.371	0.381
0.438	0.425	0.419	0.427	0.426
0.664	0.648	0.641	0.650	0.648
