ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
5.561	3.211	1.737	1.810	3.231
5.686	3.316	1.931	1.987	3.413
6.292	4.381	3.279	3.352	4.526
5.417	3.500	2.266	2.258	3.074
5.760	3.239	1.635	1.729	3.181
6.051	3.041	1.284	1.431	3.265
6.434	4.168	2.658	2.808	4.194
7.131	5.338	4.123	4.226	5.284
7.296	4.819	3.251	3.407	4.864
5.839	3.129	1.369	1.573	3.202
7.280	5.385	4.269	4.317	5.267
8.419	6.207	4.846	4.940	6.162
6.993	4.634	3.059	3.191	4.546
6.657	4.267	3.165	3.225	4.476
6.347	4.559	3.297	3.341	4.038
5.533	2.792	1.186	1.262	2.664
5.441	3.182	1.925	1.938	2.879
6.537	3.756	2.116	2.241	3.851
5.939	3.414	1.975	2.097	3.533
5.579	2.948	1.572	1.657	3.147
6.931	4.830	3.438	3.547	4.765
6.331	4.639	3.502	3.559	4.430
7.367	5.765	4.874	4.930	5.871
9.249	7.578	6.655	6.689	7.590
7.166	5.264	4.298	4.341	5.408
7.064	4.883	3.423	3.488	4.710
4.253	1.371	1.496	1.605	3.615
7.257	4.747	3.280	3.344	4.860
8.950	6.851	5.501	5.613	6.951
7.495	5.013	3.359	3.484	5.069
6.852	4.146	2.498	2.594	4.358
8.645	6.232	4.728	4.795	6.320
7.160	4.966	3.523	3.555	4.896
5.785	3.581	2.642	2.653	3.908
6.209	3.993	2.846	2.841	4.167
7.110	4.744	3.471	3.431	4.880
6.691	4.472	3.464	3.370	4.616
5.448	2.807	1.397	1.308	2.924
5.657	3.035	3.052	2.985	4.662
5.263	3.769	2.061	2.005	2.616
7.587	5.125	3.731	3.610	5.245
5.975	3.669	2.679	2.424	3.532
5.153	2.974	3.014	2.866	4.042
6.707	4.023	2.506	2.303	4.050
7.620	5.135	3.652	3.494	5.265
8.476	6.315	5.145	4.971	6.526
7.667	5.480	4.206	3.993	5.575
7.691	5.515	4.352	4.113	5.690
6.717	4.288	3.209	2.874	4.484
6.138	4.582	4.210	4.057	4.798
5.492	3.930	3.349	3.292	4.438
6.435	3.932	2.828	2.448	4.208
5.957	3.840	3.166	2.891	4.421
4.843	3.921	3.702	3.649	3.700
7.070	5.149	4.322	3.993	5.405
7.375	5.373	5.460	5.189	6.533
6.519	4.537	3.586	3.083	4.406
6.460	4.042	2.876	2.211	3.883
5.836	3.522	2.292	1.613	3.157
4.928	2.856	1.814	1.192	2.282
6.285	4.004	2.978	2.231	3.749
8.227	6.313	5.371	4.726	6.086
7.448	5.907	5.177	4.652	5.714
6.423	4.240	3.615	2.899	4.339
7.631	6.030	5.321	4.708	5.742
7.298	5.526	4.794	4.103	5.351
5.139	2.708	2.851	2.222	3.669
6.171	4.507	4.303	3.823	4.556
5.383	4.329	4.300	4.176	4.312
5.961	4.361	3.687	3.024	3.945
5.664	3.707	3.454	2.773	3.839
6.406	3.806	2.656	1.324	3.443
6.883	4.890	4.188	3.175	4.588
6.669	4.597	3.850	2.725	4.433
5.567	3.632	3.366	2.493	3.644
4.917	3.176	3.230	2.712	3.324
6.847	4.780	4.557	3.520	4.964
5.851	3.896	3.629	2.639	3.834
5.905	3.430	2.768	1.188	3.335
6.402	4.337	3.749	2.346	4.117
7.997	6.386	5.919	4.792	6.151
7.581	5.773	5.446	4.225	5.585
6.044	4.042	3.798	2.472	4.071
6.079	4.232	3.698	2.224	3.810
7.891	6.792	6.173	5.188	5.825
7.647	5.526	5.072	3.332	5.373
4.962	3.810	3.785	3.282	3.617
2.258	1.299	1.287	1.187	1.233
6.761	4.385	4.462	2.579	4.492
6.631	4.315	4.386	2.482	4.382
5.622	3.371	3.666	2.052	3.628
5.634	4.078	4.335	3.399	3.670
7.949	7.036	6.888	6.135	6.371
6.031	4.923	4.849	4.167	4.725
6.062	4.403	4.500	2.960	4.272
6.869	5.253	5.440	3.849	5.247
6.759	4.834	5.122	3.180	4.947
5.415	3.647	3.860	1.962	3.556
6.109	4.737	4.851	3.310	4.496
4.319	2.971	3.429	2.803	3.590
7.134	5.545	5.887	4.081	5.619
5.447	3.924	4.200	2.266	3.787
4.768	2.960	3.395	1.270	2.869
5.701	3.683	4.251	1.761	3.780
4.675	2.817	3.450	1.486	2.934
5.655	3.786	4.385	1.918	3.834
5.277	4.165	4.305	2.845	3.398
5.946	4.458	4.992	2.891	4.452
7.413	6.165	6.660	5.327	6.409
4.967	3.481	4.092	2.056	3.469
6.379	5.271	5.662	4.426	5.191
